Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Unintegrated,1.0,0.8181806595671333,0.909593356059295,0.2156604640220472,0.0,0.23422106228156414,0.0,0.0,0.40421470734361087,0.0,0.127687153925035,0.5886868959296951,0.40428699912783106
Harmony,0.08904458483731226,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8722810675353903,0.774456213507078,0.6178089169674624,0.6804678355833087
BBKNN,0.0,0.0,0.3323525422364968,0.07492186012121493,0.0,0.0,0.00045132086808024387,0.25499653949861667,0.35166385052956706,1.0000000000000002,0.32142234217925286,0.08145488047154234,0.17744186515462657
Scanorama,0.1538101446527982,0.5233974207052015,0.0,0.0,0.0,0.6857715047501758,0.0042556118556306664,0.19222496060165828,1.0,0.49068104712856747,0.4745866248672065,0.13544151307159993,0.27109955778984257
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
