Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Unintegrated,0.62759256,0.7673901887503886,0.5460447824786302,0.59004444,1.0,0.6707984,1.7881393e-07,0.09648197522912821,0.9097457928857258,0.23235100625960964,0.38187547481889295,0.706214427947998,0.576478846696356
Harmony,0.5854882,0.7727224955343269,0.5539987959501904,0.623429,1.0,0.8626354,0.08491933,0.39518356412127126,0.8702851519220177,0.681013754326264,0.5788074355793427,0.7071277141571045,0.6557996027259998
BBKNN,0.58137256,0.7433949951086656,0.49525889983385135,0.58405405,1.0,0.6121232,3.85046e-05,0.17264984673936312,0.9046156220745202,0.7467067165518673,0.4872267762645869,0.6808161258697509,0.6033803860276853
Scanorama,0.58848166,0.7587449331871874,0.46601838737781753,0.5808651,1.0,0.7839173,0.00036156178,0.15389987638557315,0.9679081236912359,0.48473560478237265,0.4781644948976176,0.6788220405578613,0.5985590222937638
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
