index,palantir_pseudotime,palantir_entropy,cluster,fate_Ery,fate_Lymph,fate_DC,fate_Mono
Run4_120703408880541,0.4595154322120411,0.9702929381784491,2,0.6567970347761443,0.044272211301371565,0.10739963633494862,0.19153111758756072
Run4_120703409056541,0.022692448294786817,1.314100274145457,0,0.3014279658197871,0.12294805853054555,0.2087725205286182,0.36685145512105943
Run4_120703409580963,0.8226253859962728,0.15184921869061807,3,0.0,0.0,0.01641186965294393,0.9722694493304296
Run4_120703423990708,0.7933180397249069,0.23922215301372693,3,0.014994047360716235,0.0,0.02889798949941253,0.9511720595221297
Run4_120703424252854,0.4517839161535006,1.2216189671475541,4,0.20737205507787732,0.06713241357337621,0.27458212039431157,0.45091341095444193
Run4_120703436053366,0.45613783038882655,1.1829038170696775,2,0.4754058503008904,0.061010981242929675,0.16596997662315832,0.29761319183303814
Run4_120703436057910,0.7578356966035039,1.0459635044325513,9,0.6046966313984575,0.049544084943442375,0.12409810528859837,0.22166117836951
Run4_120703436876077,0.15814574085668637,1.301950286050111,0,0.30319598364836636,0.1105325656262807,0.21201680499189582,0.3742546457334694
Run4_120703455025387,0.39477427036505175,1.2376270136782437,1,0.23099555772908656,0.07439595995055782,0.2480630785620944,0.4465454037582687
Run4_120726911638237,0.44434103956688703,1.229451477814662,4,0.22350874002803528,0.07163228801785956,0.25140139680239443,0.45345757515171853
Run4_120726912355038,0.370047246523185,1.2504475710820566,3,0.24409702229877026,0.07911830324090455,0.24204852586642914,0.43473614859390364
Run4_120726924974443,0.5347845910308504,1.1227917098348654,6,0.15088930246258297,0.04926795564178851,0.2685922258607458,0.5312505160348877
Run4_120726924978030,0.3741142208308772,1.2447964303342343,1,0.23798829827641038,0.07700887290782849,0.24482162620767395,0.4401812026080949
Run4_120726943295348,0.8190149057347661,0.15696994270362782,3,0.0,0.0,0.017094340700189944,0.971116302411037
Run4_120726943845302,0.6946702489610707,0.5950096040040367,3,0.050425580535239864,0.016599653902887552,0.09712445235635445,0.835850313205523
Run4_120772961130853,0.20023189604874797,1.294790736644635,1,0.29061818040901277,0.10449224567750179,0.21831951357828072,0.3865700603352163
Run4_120772961168292,0.4384422147763023,1.0356762217758932,2,0.613032604306373,0.04948331635194339,0.12121342546323874,0.21627065387846645
Run4_120786758780660,0.15699774721512713,1.30253743994058,1,0.3037059303018212,0.11109411981162956,0.21166086722230015,0.3735390826642613
Run4_120786786086116,0.06044362572511395,1.3132854177210875,1,0.30192037159755375,0.12206579120127842,0.20887297253412782,0.36714086466705115
Run4_120786804205803,0.4742490628244927,1.229009292528474,4,0.22271823914530298,0.07149195639775163,0.2520430245514353,0.4537467799055174
Run4_120786804401973,0.37989715730790663,1.243660228688645,1,0.23702150881053752,0.07655481336004176,0.2452557539621646,0.44116792386726383
Run4_120797898099934,0.5277217691881282,1.1462323510893855,6,0.1596573501501532,0.052080251446578976,0.2783499355453555,0.5099124628579179
Run4_120797898946870,0.7883752053240173,0.37926249296311876,8,0.912731978111301,0.011183988327523596,0.02732900952879978,0.048755024032383826
Run4_120797925428019,0.3280883226598526,1.2581947486010963,1,0.250973533778196,0.08263732868680337,0.2386952383242796,0.42769389921072926
