,mixing_entropy,mixing_sd,lineage_silhouette
uncorrected,1.0441362658856743,0.9591169876515194,0.19787704944610596
harmony,1.8213729248175063,0.8139045102027167,0.2545165419578552
scvi,1.6705622689078228,0.7735117994714306,0.2930954694747925
