"cell","samples","orig.ident","lineage","ExclusionScore"
"cy53_1_CD45_pos_1_A05_S5_comb","Mel53","cy53","Myeloid",-0.238017077081968
"Cy74_CD45_E06_S438_comb","Mel74","Cy74","NK",-0.25004605351623
"cy94_cd45neg_cd90pos_E05_S341_comb","Mel94","cy94","Malignant",0.262268524987588
"cy94_cd45pos_4_E04_S52_comb","Mel94","cy94","B_cell",-0.273028780768901
"CY89FNAQ2_C11_S419_comb","Mel89","CY89FNAQ2","Malignant",0.386466362931537
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D04_S328_comb","Mel79","cy79","Malignant",0.417347636850769
"Cy72_CD45_A07_S679_comb","Mel72","Cy72","B_cell",-0.266391371891808
"CY88_5_F08_S740_comb","Mel88","CY88","Malignant",0.554035730901748
"cy80_CD_90_pos_D10_S910_comb","Mel80","cy80","CAF",-0.0874707348399933
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E06_S534_comb","Mel79","cy79","B_cell",-0.229954452356839
"CY89FNA_E05_S245_comb","Mel89","CY89FNA","B_cell",-0.207658939502402
"CY89A_Core_15_F04_S64_comb","Mel89","CY89A","B_cell",-0.206851212907904
"CY89COREQ1_G08_S368_comb","Mel89","CY89COREQ1","Myeloid",0.0295417146008241
"CY89COREQ1_E05_S341_comb","Mel89","CY89COREQ1","B_cell",-0.218597182184039
"CY88CD45POS_2_D01_S421_comb","Mel88","CY88CD45POS","Myeloid",-0.0248887722961532
"Cy71_CD45_H05_S569_comb","Mel71","Cy71","B_cell",-0.192499259716961
"cy84_Primary_CD45_pos_H08_S476_comb","Mel84","cy84","B_cell",-0.334850718009527
"cy84_Met_CD45_pos_H10_S958_comb","Mel84","cy84","B_cell",-0.159839409998593
"cy84_Primary_CD45_pos_B08_S404_comb","Mel84","cy84","NK",-0.302694288658139
"CY94CD45POS_1_D08_S140_comb","Mel94","CY94CD45POS","B_cell",-0.29740589240121
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G02_S554_comb","Mel79","cy79","B_cell",-0.288533953470789
"cy80_CD45_neg_C06_S894_comb","Mel80","cy80","Endothelial",-0.249864297889139
"cy82_CD45_pos_2_D02_S518_comb","Mel82","cy82","Endothelial",-0.183527469064414
"Cy71_CD45_H07_S571_comb","Mel71","Cy71","Myeloid",0.0796940247172809
"cy79_p3_CD45_pos_PD1_neg_E09_S153_comb","Mel79","cy79","NK",-0.254230526962691
"CY89A_CD45_POS_6_D06_S138_comb","Mel89","CY89A","B_cell",-0.163757038405745
"cy53_1_CD45_neg_C01_S313_comb","Mel53","cy53","CAF",-0.0871842404138463
"cy53_1_CD45_neg_A10_S298_comb","Mel53","cy53","Endothelial",-0.176383709903979
"cy79_p3_CD45_neg_PDL1_neg_A07_S199_comb","Mel79","cy79","Malignant",0.485354823700069
"CY89A_CD45_POS_6_F05_S161_comb","Mel89","CY89A","B_cell",-0.234397860597907
"cy80_CD_90_pos_C11_S899_comb","Mel80","cy80","CAF",-0.0670078728842501
"cy88_cd_45_pos_D09_S429_comb","Mel88","cy88","Myeloid",0.0531702025285755
"cy79_p3_CD45_pos_PD1_neg_C06_S126_comb","Mel79","cy79","B_cell",-0.25507819019954
"cy80_CD_90_pos_C04_S892_comb","Mel80","cy80","CAF",-0.0836212056413266
"Cy72_CD45_E06_S726_comb","Mel72","Cy72","CAF",-0.263180411320566
"cy94_cd45neg_cd90pos_A10_S298_comb","Mel94","cy94","Endothelial",-0.0873541395838282
"Cy72_CD45_E11_S731_comb","Mel72","Cy72","Myeloid",-0.231328889146221
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F04_S1024_comb","Mel60","cy60","B_cell",-0.200776751904428
"CY89A_Core_15_F05_S65_comb","Mel89","CY89A","B_cell",-0.216902781278312
"cy74_CD45_pos_F02_S734_comb","Mel74","cy74","B_cell",-0.196681571467992
"CY94CD45POS_1_F08_S164_comb","Mel94","CY94CD45POS","B_cell",-0.290637845538165
"Cy74_CD45_B08_S404_comb","Mel74","Cy74","B_cell",-0.20377846451689
"cy60_1_cd_45_pos_3_B12_S312_comb","Mel60","cy60","B_cell",-0.139985429732274
"cy94_cd45neg_cd90pos_F04_S352_comb","Mel94","cy94","Endothelial",-0.255087445901666
"cy94_cd45pos_C11_S131_comb","Mel94","cy94","B_cell",-0.24459177022594
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E04_S1012_comb","Mel60","cy60","B_cell",-0.190504320278973
