"cell","samples","orig.ident","lineage","ExclusionScore"
"cy78_CD45_neg_1_B04_S496_comb","Mel78","cy78","Malignant",0.715639633120711
"cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb","Mel79","cy79","Malignant",0.73864933823447
"CY88_5_B10_S694_comb","Mel88","CY88","Malignant",0.493711432270583
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb","Mel79","cy79","Malignant",0.629436660269572
"cy78_CD45_neg_3_H06_S762_comb","Mel78","cy78","Malignant",0.826433195899611
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb","Mel79","cy79","Malignant",0.64618286996909
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb","Mel79","cy79","Malignant",0.661407604735954
"CY88_3_D02_S614_comb","Mel88","CY88","Malignant",0.513578326572144
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb","Mel79","cy79","Malignant",0.608756598247181
"cy53_1_CD45_neg_C06_S318_comb","Mel53","cy53","Malignant",0.178925070591218
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb","Mel79","cy79","Malignant",0.372623815855357
"Cy71_CD45_D08_S524_comb","Mel71","Cy71","Malignant",0.496162196693236
"Cy81_FNA_CD45_B01_S301_comb","Mel81","Cy81","CAF",0.123901077694057
"CY88_5_B06_S690_comb","Mel88","CY88","Malignant",0.728984855020069
"cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb","Mel79","cy79","Malignant",0.770575456624589
"Cy80_II_CD45_B07_S883_comb","Mel80","Cy80","Malignant",0.488743335296699
"cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb","Mel79","cy79","Malignant",0.750980234740741
"Cy81_Bulk_CD45_B10_S118_comb","Mel81","Cy81","CAF",0.132434123100758
"cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb","Mel79","cy79","Malignant",0.748054509972262
"CY88_3_F01_S637_comb","Mel88","CY88","Malignant",0.710171342465692
"CY88_3_C01_S601_comb","Mel88","CY88","Malignant",0.605789035301026
"CY89NEG_E07_S55_comb","Mel89","CY89NEG","Malignant",0.735871362720478
"CY89CORE11_G02_S170_comb","Mel89","CY89CORE11","Malignant",0.766964621398774
"cy78_CD45_neg_1_D07_S523_comb","Mel78","cy78","Malignant",0.648703713842928
"cy78_CD45_neg_3_D01_S709_comb","Mel78","cy78","Malignant",0.750924784542036
"cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb","Mel79","cy79","CAF",0.167771370798116
"Cy71_CD45_B05_S497_comb","Mel71","Cy71","Malignant",0.345839897804001
"Cy80_II_CD45_C09_S897_comb","Mel80","Cy80","Malignant",0.316714232159825
"cy81_FNA_CD45_neg_D04_S1000_comb","Mel81","cy81","CAF",0.0850620800498853
"cy82_CD45_pos_2_H12_S576_comb","Mel82","cy82","CAF",0.0353907441054591
"cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb","Mel79","cy79","B_cell",0.570701883378777
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb","Mel79","cy79","Malignant",0.659956130602608
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb","Mel79","cy79","Malignant",0.406143181976585
"cy80_CD45_neg_G01_S937_comb","Mel80","cy80","Malignant",0.598161580607266
"cy78_CD45_neg_2_B08_S596_comb","Mel78","cy78","Malignant",0.737174000253948
"cy78_CD45_neg_1_E02_S530_comb","Mel78","cy78","Malignant",0.862789067212365
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb","Mel79","cy79","Malignant",0.590681930120122
"CY89CORE11_A11_S107_comb","Mel89","CY89CORE11","Malignant",0.866824601155329
"cy78_CD45_neg_3_B02_S686_comb","Mel78","cy78","Malignant",0.88022675279032
"cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb","Mel79","cy79","Malignant",0.636345866348116
"cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb","Mel79","cy79","Malignant",0.753952954692503
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb","Mel79","cy79","Malignant",0.77463413704695
"cy81_Bulk_CD45_neg_A10_S106_comb","Mel81","cy81","CAF",0.157932529713383
"cy53_1_CD45_neg_E04_S340_comb","Mel53","cy53","CAF",0.0138587530361198
"cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb","Mel79","cy79","Malignant",0.812206818906156
"cy78_CD45_neg_3_D04_S712_comb","Mel78","cy78","Malignant",0.757419036684311
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb","Mel79","cy79","Malignant",0.617431988356918
"cy81_FNA_CD45_neg_B01_S973_comb","Mel81","cy81","CAF",-0.0769623850718855
"Cy81_FNA_CD45_E05_S341_comb","Mel81","Cy81","CAF",0.077272779561856
"cy78_CD45_neg_3_E02_S722_comb","Mel78","cy78","Malignant",0.750094501055284
"cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb","Mel79","cy79","Malignant",0.773589700107617
"cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb","Mel79","cy79","Malignant",0.461288971131706
"cy78_CD45_neg_3_D10_S718_comb","Mel78","cy78","Malignant",0.657215239353403
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb","Mel79","cy79","Malignant",0.678939195806303
"cy78_CD45_neg_1_G05_S557_comb","Mel78","cy78","Malignant",0.733773716882958
"CY88_5_C12_S708_comb","Mel88","CY88","Malignant",0.643994189436695
"cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb","Mel79","cy79","Malignant",0.626871770921707
"Cy81_Bulk_CD45_E10_S154_comb","Mel81","Cy81","CAF",0.0249562383762847
"CY88CD45_150813_G04_S364_comb","Mel88","CY88CD45","Myeloid",0.262131124530261
"Cy80_II_CD45_H07_S955_comb","Mel80","Cy80","Malignant",0.664332036823
"cy79_p4_CD45_neg_PDL1_neg_B08_S1076_comb","Mel79","cy79","Malignant",0.689473623515201
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B07_S19_comb","Mel79","cy79","Malignant",0.492045991427069
"cy82_CD45_pos_3_A03_S3_comb","Mel82","cy82","CAF",0.102920598467948
"cy79_p4_CD45_neg_PDL1_neg_C12_S1092_comb","Mel79","cy79","Malignant",0.7644865886582
"cy78_CD45_neg_3_G11_S755_comb","Mel78","cy78","Malignant",0.813654248523217
"Cy81_FNA_CD45_D09_S333_comb","Mel81","Cy81","CAF",0.0561852928717534
"cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb","Mel79","cy79","Malignant",0.672164892366732
"Cy71_CD45_E12_S540_comb","Mel71","Cy71","Malignant",0.699324878429969
"cy94_cd45neg_cd90pos_G07_S367_comb","Mel94","cy94","CAF",0.425832859611068
"cy78_CD45_neg_1_H01_S565_comb","Mel78","cy78","Malignant",0.818935249370783
"CY89CORE11_F05_S161_comb","Mel89","CY89CORE11","Malignant",0.49820773293398
"CY89NEG_C03_S27_comb","Mel89","CY89NEG","Malignant",0.955429407199582
"cy81_Bulk_CD45_neg_G01_S169_comb","Mel81","cy81","Myeloid",-0.0179997159400646
"CY89CORE11_B10_S118_comb","Mel89","CY89CORE11","Malignant",0.701524823326046
"cy78_CD45_neg_1_C02_S506_comb","Mel78","cy78","Malignant",0.788603091486652
"CY88_5_G04_S748_comb","Mel88","CY88","Malignant",0.666668993565311
"cy79_p3_CD45_neg_PDL1_neg_H04_S280_comb","Mel79","cy79","Malignant",0.609868043834098
"CY88_3_F05_S641_comb","Mel88","CY88","Malignant",0.241696055493902
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B10_S118_comb","Mel79","cy79","Malignant",0.713543475858221
"Cy71_CD45_G02_S554_comb","Mel71","Cy71","Malignant",0.694022248610084
"cy78_CD45_neg_1_A05_S485_comb","Mel78","cy78","Malignant",0.774318952507875
"cy81_Bulk_CD45_neg_C03_S123_comb","Mel81","cy81","CAF",0.0350340680286382
"cy79_p4_CD45_neg_PDL1_neg_C03_S1083_comb","Mel79","cy79","Malignant",0.712613151754547
"cy94_cd45neg_cd90pos_E08_S344_comb","Mel94","cy94","Malignant",0.536748028040019
"cy81_FNA_CD45_neg_C09_S993_comb","Mel81","cy81","CAF",0.0537032789210972
"cy80_CD45_neg_G04_S940_comb","Mel80","cy80","Malignant",0.438363819336728
"Cy80_II_CD45_H09_S957_comb","Mel80","Cy80","Malignant",0.667728716697676
"cy80_CD45_neg_A09_S873_comb","Mel80","cy80","Malignant",0.551952604761897
"CY88_3_H11_S671_comb","Mel88","CY88","Malignant",0.539848535816099
"Cy80_II_CD45_B11_S887_comb","Mel80","Cy80","Malignant",0.58397039211139
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb","Mel79","cy79","Malignant",0.72701978569699
"CY89NEG_B03_S15_comb","Mel89","CY89NEG","Malignant",0.648541314753833
"Cy81_Bulk_CD45_E04_S148_comb","Mel81","Cy81","CAF",0.0417119211308448
"Cy80_II_CD45_D11_S911_comb","Mel80","Cy80","Malignant",0.629717091083271
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb","Mel79","cy79","Malignant",0.875213080583508
"cy78_CD45_neg_1_E03_S531_comb","Mel78","cy78","Malignant",0.493880068358085
"CY88_3_C10_S610_comb","Mel88","CY88","Malignant",0.624987408148125
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb","Mel79","cy79","Malignant",0.415935315569607
"cy78_CD45_neg_1_E07_S535_comb","Mel78","cy78","Malignant",0.702403057200837
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb","Mel79","cy79","Malignant",0.638918118122309
"CY89NEG_G01_S73_comb","Mel89","CY89NEG","Malignant",0.738315114058526
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B02_S14_comb","Mel79","cy79","Malignant",0.667079135933175
"cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb","Mel79","cy79","Malignant",0.902642060784677
"cy81_FNA_CD45_neg_F09_S1029_comb","Mel81","cy81","CAF",0.250010441527453
"cy78_CD45_neg_2_C06_S606_comb","Mel78","cy78","Malignant",0.647590315276687
"Cy81_FNA_CD45_G10_S370_comb","Mel81","Cy81","CAF",0.222580968710288
"Cy71_CD45_E11_S539_comb","Mel71","Cy71","Malignant",0.4658385512673
"CY88_5_D11_S719_comb","Mel88","CY88","Malignant",0.753366689546218
"cy82_CD45_pos_2_D11_S527_comb","Mel82","cy82","Endothelial",0.14694998845466
"CY89FNAQ2_F06_S450_comb","Mel89","CY89FNAQ2","Malignant",0.774363117048224
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C08_S32_comb","Mel79","cy79","Malignant",0.874429882487558
"cy78_CD45_neg_3_G02_S746_comb","Mel78","cy78","Malignant",0.933204088107777
"Cy81_FNA_CD45_C09_S321_comb","Mel81","Cy81","CAF",0.165112555745941
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F06_S66_comb","Mel79","cy79","Myeloid",0.000756823330952561
"cy78_CD45_neg_1_B02_S494_comb","Mel78","cy78","Malignant",0.727753024723865
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E01_S49_comb","Mel79","cy79","Malignant",0.597524676102651
"cy80_CD45_neg_D04_S904_comb","Mel80","cy80","Malignant",0.609862253533592
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F01_S157_comb","Mel79","cy79","Malignant",0.741278078994715
"cy79_p4_CD45_neg_PDL1_pos_A02_S386_comb","Mel79","cy79","Malignant",0.840207426811207
"cy80_CD45_neg_E02_S914_comb","Mel80","cy80","Malignant",0.553214748425814
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D09_S45_comb","Mel79","cy79","Malignant",0.572598192165613
"cy78_CD45_neg_1_H07_S571_comb","Mel78","cy78","Malignant",0.785233677614589
"Cy80_II_CD45_G07_S943_comb","Mel80","Cy80","Malignant",0.383628480123529
"cy78_CD45_neg_1_F06_S546_comb","Mel78","cy78","Malignant",0.765659700452029
"cy81_FNA_CD45_neg_E04_S1012_comb","Mel81","cy81","CAF",0.0509684473171193
"cy81_Bulk_CD45_neg_E04_S148_comb","Mel81","cy81","CAF",0.197553071925583
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H01_S181_comb","Mel79","cy79","Malignant",0.749291083016135
"cy81_Bulk_CD45_neg_C11_S131_comb","Mel81","cy81","CAF",-0.0440587329280041
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A04_S4_comb","Mel79","cy79","Malignant",0.618990287489846
"cy81_Bulk_CD45_neg_D09_S141_comb","Mel81","cy81","CAF",-0.0163896553387968
"Cy71_CD45_G08_S560_comb","Mel71","Cy71","Malignant",0.289218410062498
"CY89CORE11_A04_S100_comb","Mel89","CY89CORE11","Malignant",0.580121110772246
"cy80_CD45_neg_G02_S938_comb","Mel80","cy80","Malignant",0.5027875354756
"CY88_5_H03_S759_comb","Mel88","CY88","Malignant",0.606632639103308
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B08_S20_comb","Mel79","cy79","Malignant",0.667748457732706
"CY88_5_E04_S724_comb","Mel88","CY88","Malignant",0.624164500902004
"CY89NEG_H11_S95_comb","Mel89","CY89NEG","Malignant",0.626156651492606
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D11_S335_comb","Mel79","cy79","Malignant",0.841810202981026
"cy79_p5_CD45_neg_PDL1_neg_E02_S818_comb","Mel79","cy79","Malignant",0.630666768793202
"cy81_FNA_CD45_neg_F08_S1028_comb","Mel81","cy81","CAF",0.0963524406332439
"CY88_3_D07_S619_comb","Mel88","CY88","Malignant",0.581557369337494
"cy79_p3_CD45_neg_PDL1_neg_F09_S261_comb","Mel79","cy79","Malignant",0.827353010546192
"CY88_3_G09_S657_comb","Mel88","CY88","Malignant",0.481864171675121
"cy79_p5_CD45_neg_PDL1_neg_D03_S807_comb","Mel79","cy79","Malignant",0.568082191210587
"CY88_5_H08_S764_comb","Mel88","CY88","Malignant",0.58922641132838
"cy79_p4_CD45_neg_PDL1_neg_F08_S1124_comb","Mel79","cy79","Malignant",0.735954520396707
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D10_S334_comb","Mel79","cy79","Malignant",0.685548879614407
"cy81_FNA_CD45_neg_G12_S1044_comb","Mel81","cy81","CAF",0.230422398765476
"CY88_3_B04_S592_comb","Mel88","CY88","Malignant",0.424598618605874
"cy79_p5_CD45_neg_PDL1_pos_A11_S683_comb","Mel79","cy79","Malignant",0.798880794082832
"Cy71_CD45_F06_S546_comb","Mel71","Cy71","Malignant",0.439114203528334
"cy79_p5_CD45_neg_PDL1_pos_G11_S755_comb","Mel79","cy79","Malignant",0.853820287985616
"cy79_p5_CD45_neg_PDL1_pos_C10_S706_comb","Mel79","cy79","Malignant",0.656873501978715
"cy79_p3_CD45_neg_PDL1_neg_F08_S260_comb","Mel79","cy79","Malignant",0.760215550532515
"cy53_1_CD45_neg_B02_S302_comb","Mel53","cy53","Myeloid",0.0172505502345683
"CY89NEG_F05_S65_comb","Mel89","CY89NEG","Malignant",0.795323026990294
"cy80_CD45_neg_H08_S956_comb","Mel80","cy80","Malignant",0.643046725225584
"Cy81_Bulk_CD45_D01_S133_comb","Mel81","Cy81","CAF",-0.0406855351180665
"cy79_p3_CD45_neg_PDL1_neg_G03_S267_comb","Mel79","cy79","Malignant",0.685581601176679
"Cy81_Bulk_CD45_D10_S142_comb","Mel81","Cy81","CAF",0.0459005872946524
"CY89NEG_F07_S67_comb","Mel89","CY89NEG","Endothelial",0.0470708539906992
"cy79_p5_CD45_neg_PDL1_pos_H06_S762_comb","Mel79","cy79","Malignant",0.629460826116847
"cy79_p4_CD45_neg_PDL1_neg_F12_S1128_comb","Mel79","cy79","Malignant",0.398367471984813
"cy82_CD45_pos_2_B03_S495_comb","Mel82","cy82","CAF",0.14350645633102
"cy78_CD45_neg_1_A04_S484_comb","Mel78","cy78","Malignant",0.790231854858818
"Cy81_FNA_CD45_C05_S317_comb","Mel81","Cy81","CAF",-0.0246248646320735
"Cy80_II_CD45_B01_S877_comb","Mel80","Cy80","Malignant",0.791633911939532
"CY89CORE11_E10_S154_comb","Mel89","CY89CORE11","Malignant",0.629877985059632
"cy81_Bulk_CD45_neg_E02_S146_comb","Mel81","cy81","Endothelial",-0.0657086873942509
"cy80_CD45_neg_A05_S869_comb","Mel80","cy80","Malignant",0.764853773835228
"cy79_p4_CD45_neg_PDL1_pos_D03_S423_comb","Mel79","cy79","Malignant",0.705582370258115
"cy79_p4_CD45_neg_PDL1_pos_A04_S388_comb","Mel79","cy79","Malignant",0.773337284422355
"CY89NEG_E06_S54_comb","Mel89","CY89NEG","Malignant",0.744571846230046
"cy79_p5_CD45_neg_PDL1_neg_C02_S794_comb","Mel79","cy79","Malignant",0.76920318790714
"CY88_3_A10_S586_comb","Mel88","CY88","Malignant",0.605413052484644
"CY88CD45POS_7_C07_S223_comb","Mel88","CY88CD45POS","Myeloid",0.218807582724072
"CY89FNAQ2_G07_S463_comb","Mel89","CY89FNAQ2","Malignant",0.687646755024989
"cy80_CD45_neg_F05_S929_comb","Mel80","cy80","Malignant",0.7478078378709
"Cy81_Bulk_CD45_G12_S180_comb","Mel81","Cy81","CAF",0.0721607828296723
"cy81_FNA_CD45_neg_F06_S1026_comb","Mel81","cy81","CAF",0.0320590220749077
"cy79_p4_CD45_neg_PDL1_pos_C02_S410_comb","Mel79","cy79","Malignant",0.809190655326963
"cy79_p5_CD45_neg_PDL1_pos_C11_S707_comb","Mel79","cy79","Malignant",0.695447745138678
"cy79_p5_CD45_neg_PDL1_pos_F09_S741_comb","Mel79","cy79","Malignant",0.459450197398453
"cy79_p4_CD45_neg_PDL1_pos_E10_S442_comb","Mel79","cy79","Malignant",0.600914597246048
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H01_S373_comb","Mel79","cy79","Malignant",0.684222615431853
"cy78_CD45_neg_1_H08_S572_comb","Mel78","cy78","CAF",0.112836036536535
"CY89CORE11_B04_S112_comb","Mel89","CY89CORE11","Malignant",0.671477743317064
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F03_S159_comb","Mel79","cy79","Malignant",0.514182637875713
"cy79_p3_CD45_neg_PDL1_neg_H10_S286_comb","Mel79","cy79","Malignant",0.813530968049228
"cy78_CD45_neg_1_F02_S542_comb","Mel78","cy78","Malignant",0.633342387261189
"CY89CORE11_A05_S101_comb","Mel89","CY89CORE11","Malignant",0.465181511394352
"CY89CORE11_B06_S114_comb","Mel89","CY89CORE11","Malignant",0.744503986223266
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E08_S56_comb","Mel79","cy79","Malignant",0.707137995943982
"cy79_p3_CD45_neg_PDL1_neg_C07_S223_comb","Mel79","cy79","Malignant",0.718265704465852
"cy78_CD45_neg_3_G07_S751_comb","Mel78","cy78","Malignant",0.699333394855517
"CY89NEG_A06_S6_comb","Mel89","CY89NEG","Malignant",0.912450869710027
"cy79_p4_CD45_neg_PDL1_neg_B04_S1072_comb","Mel79","cy79","Malignant",0.712259479828855
"Cy81_FNA_CD45_F02_S350_comb","Mel81","Cy81","CAF",0.126912453413514
"cy79_p4_CD45_neg_PDL1_neg_H01_S1141_comb","Mel79","cy79","Malignant",0.736970680922497
"CY89CORE11_D09_S141_comb","Mel89","CY89CORE11","Malignant",0.390341837284932
"cy78_CD45_neg_1_F10_S550_comb","Mel78","cy78","Malignant",0.731838273618737
"cy79_p4_CD45_neg_PDL1_pos_H11_S479_comb","Mel79","cy79","Malignant",0.647142817023768
"cy81_FNA_CD45_neg_H09_S1053_comb","Mel81","cy81","CAF",0.0354712386454648
"cy78_CD45_neg_3_E05_S725_comb","Mel78","cy78","Malignant",0.54938072139974
"cy78_CD45_neg_1_H04_S568_comb","Mel78","cy78","Malignant",0.821395285783349
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A07_S7_comb","Mel79","cy79","Malignant",0.576065853434094
"CY89FNAQ2_B02_S398_comb","Mel89","CY89FNAQ2","Malignant",0.580085166653706
"Cy71_CD45_H06_S570_comb","Mel71","Cy71","Malignant",0.199005999590411
"cy79_p3_CD45_neg_PDL1_neg_D09_S237_comb","Mel79","cy79","Malignant",0.728481751641615
"CY88_5_B12_S696_comb","Mel88","CY88","Malignant",0.60775189835212
"CY88_3_H10_S670_comb","Mel88","CY88","Malignant",0.46204267162551
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B11_S119_comb","Mel79","cy79","Malignant",0.666687766796993
"CY89FNAQ2_C04_S412_comb","Mel89","CY89FNAQ2","Malignant",0.31179939528441
"cy79_p5_CD45_neg_PDL1_pos_E10_S730_comb","Mel79","cy79","Malignant",0.868664776370523
"Cy80_II_CD45_B09_S885_comb","Mel80","Cy80","Malignant",0.746412030776213
"cy79_p5_CD45_neg_PDL1_pos_G02_S746_comb","Mel79","cy79","Malignant",0.869391423937845
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G02_S170_comb","Mel79","cy79","Malignant",0.754445012190162
"cy79_p3_CD45_neg_PDL1_neg_E05_S245_comb","Mel79","cy79","Malignant",0.748273960418517
"CY88_5_H05_S761_comb","Mel88","CY88","Malignant",0.526786324712433
"Cy81_FNA_CD45_H12_S384_comb","Mel81","Cy81","CAF",0.127604027982396
"cy79_p5_CD45_neg_PDL1_neg_G04_S844_comb","Mel79","cy79","Malignant",0.739662952392628
"CY88_5_D08_S716_comb","Mel88","CY88","Malignant",0.611166083072752
"cy79_p4_CD45_neg_PDL1_pos_B11_S407_comb","Mel79","cy79","Malignant",0.779310099563429
"cy79_p3_CD45_neg_PDL1_neg_B11_S215_comb","Mel79","cy79","Malignant",0.794963567786903
"CY88_3_B12_S600_comb","Mel88","CY88","Malignant",0.541191576918554
"cy81_FNA_CD45_neg_F02_S1022_comb","Mel81","cy81","CAF",-0.0522553568010234
"cy79_p4_CD45_neg_PDL1_pos_D05_S425_comb","Mel79","cy79","Malignant",0.693769478224247
"cy94_cd45neg_cd90pos_A11_S299_comb","Mel94","cy94","Malignant",0.673921514516462
"cy60_1_cd_45_neg_3_F06_S546_comb","Mel60","cy60","Malignant",0.269804279176336
"cy79_p4_CD45_neg_PDL1_pos_D01_S421_comb","Mel79","cy79","Malignant",0.68094320009451
"CY88_5_D10_S718_comb","Mel88","CY88","Malignant",0.546831945588492
"CY89NEG_H06_S90_comb","Mel89","CY89NEG","Malignant",0.752250257893974
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H03_S375_comb","Mel79","cy79","Malignant",0.805548409548307
"Cy81_Bulk_CD45_E08_S152_comb","Mel81","Cy81","CAF",0.210397948645584
"CY89FNAQ2_H03_S471_comb","Mel89","CY89FNAQ2","Malignant",0.707275482972212
"cy79_p4_CD45_neg_PDL1_neg_H09_S1149_comb","Mel79","cy79","Malignant",0.675562874458453
"cy81_FNA_CD45_neg_B04_S976_comb","Mel81","cy81","CAF",-0.062186825211712
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F11_S167_comb","Mel79","cy79","Malignant",0.561833551404969
"cy79_p4_CD45_neg_PDL1_neg_F03_S1119_comb","Mel79","cy79","Malignant",0.729700711562736
"cy79_p4_CD45_neg_PDL1_pos_C04_S412_comb","Mel79","cy79","Malignant",0.781655487680236
"Cy80_II_CD45_G09_S945_comb","Mel80","Cy80","CAF",0.29780451179365
"cy79_p5_CD45_neg_PDL1_pos_G05_S749_comb","Mel79","cy79","Malignant",0.652278384079145
"cy79_p4_CD45_neg_PDL1_pos_F06_S450_comb","Mel79","cy79","Malignant",0.625722233226383
"cy82_CD45_pos_3_C11_S35_comb","Mel82","cy82","Endothelial",0.156502576723222
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C04_S316_comb","Mel79","cy79","Malignant",0.64210402039252
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F06_S162_comb","Mel79","cy79","Malignant",0.686566806837936
"CY88_3_C12_S612_comb","Mel88","CY88","Malignant",0.647326524062957
"Cy80_II_CD45_D09_S909_comb","Mel80","Cy80","Malignant",0.591338621767355
"cy81_FNA_CD45_neg_E12_S1020_comb","Mel81","cy81","CAF",0.182506694202729
"cy78_CD45_neg_3_G09_S753_comb","Mel78","cy78","Malignant",0.889859506299517
"cy79_p4_CD45_neg_PDL1_neg_A12_S1068_comb","Mel79","cy79","Malignant",0.49533165154515
"cy79_p4_CD45_neg_PDL1_neg_B11_S1079_comb","Mel79","cy79","Malignant",0.798444125337619
"cy79_p5_CD45_neg_PDL1_neg_A05_S773_comb","Mel79","cy79","Malignant",0.754583905959522
"Cy71_CD45_D11_S527_comb","Mel71","Cy71","Malignant",0.378531244534758
"cy80_CD45_neg_D03_S903_comb","Mel80","cy80","Malignant",0.648011742466914
"cy78_CD45_neg_1_B08_S500_comb","Mel78","cy78","Malignant",0.739721830502402
"cy88_cd45pos_5_C01_S217_comb","Mel88","cy88","Malignant",0.427833021673563
"cy81_Bulk_CD45_neg_E09_S153_comb","Mel81","cy81","CAF",0.071376759560937
"cy79_p3_CD45_neg_PDL1_neg_B06_S210_comb","Mel79","cy79","Malignant",0.834565721959087
"cy78_CD45_neg_3_D07_S715_comb","Mel78","cy78","Malignant",0.723774793954352
"cy79_p5_CD45_neg_PDL1_neg_F05_S833_comb","Mel79","cy79","Malignant",0.798696506617135
"cy80_CD45_neg_B01_S877_comb","Mel80","cy80","Malignant",0.792740447030158
"cy82_CD45_pos_1_E08_S536_comb","Mel82","cy82","CAF",0.0734410505663444
"Cy81_Bulk_CD45_B09_S117_comb","Mel81","Cy81","CAF",0.163269036815554
"cy78_CD45_neg_1_A03_S483_comb","Mel78","cy78","Malignant",0.870090217052945
"cy79_p5_CD45_neg_PDL1_neg_H06_S858_comb","Mel79","cy79","Malignant",0.693458188727435
"cy79_p4_CD45_neg_PDL1_neg_A03_S1059_comb","Mel79","cy79","Malignant",0.794475034995349
"cy78_CD45_neg_1_F08_S548_comb","Mel78","cy78","Malignant",0.651350677684975
"cy60_1_cd_45_neg_3_C10_S514_comb","Mel60","cy60","Malignant",0.487253698841963
"CY88_3_C08_S608_comb","Mel88","CY88","Malignant",0.524351650659064
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A12_S108_comb","Mel79","cy79","Malignant",0.555024661034951
"cy79_p5_CD45_neg_PDL1_neg_H10_S862_comb","Mel79","cy79","Malignant",0.81576525396395
"Cy71_CD45_G09_S561_comb","Mel71","Cy71","Malignant",0.113994417541997
"cy80_CD45_neg_C09_S897_comb","Mel80","cy80","Malignant",0.471839741184538
"Cy71_CD45_F11_S551_comb","Mel71","Cy71","Malignant",0.29332291247188
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B04_S304_comb","Mel79","cy79","Malignant",0.670195264828707
"cy78_CD45_neg_3_D08_S716_comb","Mel78","cy78","Malignant",0.872478560857343
"cy79_p5_CD45_neg_PDL1_pos_E03_S723_comb","Mel79","cy79","Malignant",0.806818930081531
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F04_S160_comb","Mel79","cy79","Malignant",0.596648294535013
"cy79_p4_CD45_neg_PDL1_pos_C12_S420_comb","Mel79","cy79","Malignant",0.853647073406001
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C08_S128_comb","Mel79","cy79","Malignant",0.747207605265039
"cy79_p5_CD45_neg_PDL1_pos_E08_S728_comb","Mel79","cy79","Malignant",0.783645092563641
"cy80_CD45_neg_D07_S907_comb","Mel80","cy80","Malignant",0.609300280363922
